Timestamp(ms),Current(uA)
59970,116623.984
59980,117287.320
59990,116811.984
60000,117163.484
60010,116807.891
60020,117487.781
60030,116951.258
60040,117636.844
60050,117176.063
60060,117570.477
60070,117123.727
60080,117322.211
60090,116727.852
60100,116541.000
60110,116562.195
60120,117251.203
60130,116720.609
60140,115003.789
60150,116297.930
60160,116958.883
60170,116829.758
60180,117334.211
60190,117036.164
60200,117336.547
60210,117132.688
60220,117852.977
60230,117619.297
60240,117853.547
60250,118460.867
60260,118290.148
60270,117676.031
60280,117965.039
60290,117597.797
60300,117841.711
60310,117491.063
60320,117817.414
60330,117523.969
60340,117965.641
60350,117561.805
60360,117940.438
60370,117709.516
60380,118206.641
60390,117726.203
60400,117670.578
60410,117305.859
60420,117799.633
60430,117612.602
60440,118158.297
60450,117793.133
60460,118272.992
60470,117467.633
60480,117962.484
60490,117644.477
60500,117793.313
60510,117527.344
60520,117703.313
60530,117581.250
60540,117826.875
60550,117680.031
60560,117914.844
60570,117344.516
60580,117636.453
60590,117396.695
60600,117350.984
60610,116303.070
60620,117134.617
60630,117247.656
60640,117446.703
60650,67574.258
60660,26135.135
60670,10865.391
60680,5440.744
60690,4571.041
60700,5990.666
60710,8084.026
60720,7467.447
60730,6488.151
60740,5834.207
60750,5195.401
60760,4878.792
60770,4799.001
60780,4540.845
60790,4394.212
60800,4323.156
60810,4294.651
60820,4312.053
60830,4394.509
60840,4393.072
60850,4391.014
60860,4395.523
60870,4400.562
60880,4579.420
60890,4537.333
60900,4434.589
60910,4392.713
60920,4371.385
60930,4361.602
60940,4356.756
60950,4351.755
60960,4352.055
60970,4347.799
60980,4342.229
60990,4338.733
61000,4330.844
61010,4327.678
61020,4323.331
61030,4321.107
61040,4320.052
61050,4315.499
61060,4316.664
61070,4317.190
61080,4317.036
61090,4317.926
61100,4315.266
61110,4314.693
61120,4313.347
61130,4315.021
61140,4316.623
61150,4312.385
61160,4310.852
61170,4307.458
61180,4309.189
61190,4312.306
61200,4309.415
61210,4311.130
61220,4309.036
61230,4307.056
61240,4308.433
61250,4303.193
61260,4305.995
61270,4304.388
61280,4304.494
61290,4306.978
61300,4305.740
61310,4309.409
61320,4310.154
61330,4310.471
61340,4313.783
61350,4309.957
61360,4313.710
61370,4311.221
61380,4307.781
61390,4310.068
61400,4309.083
61410,4309.614
61420,4306.830
61430,4305.095
61440,4306.858
61450,4303.816
61460,4304.762
61470,4304.671
61480,4303.908
61490,4307.305
61500,4303.582
61510,4303.398
61520,4299.925
61530,4299.485
61540,4302.832
61550,4303.109
61560,4310.148
61570,4308.664
61580,4308.107
61590,4311.231
61600,4308.334
61610,4308.446
61620,4306.280
61630,4305.941
61640,4305.889
61650,4301.646
61660,4301.963
61670,4302.038
61680,4302.841
61690,4305.525
61700,4302.196
61710,4303.722
61720,4301.588
61730,4299.980
61740,4303.644
61750,4301.899
61760,4306.029
61770,4305.734
61780,4304.093
61790,4305.153
61800,4305.014
61810,4306.441
61820,4303.282
61830,4303.752
61840,4306.790
61850,4301.150
61860,4303.028
61870,4301.546
61880,4298.938
61890,4299.358
61900,4295.879
61910,4298.423
61920,4298.459
61930,4299.895
61940,4305.263
61950,4308.720
61960,4312.241
61970,4310.548
61980,4308.684
61990,4312.855
62000,4308.837
62010,4307.593
62020,4306.478
62030,4304.730
62040,4305.447
62050,4301.204
62060,4301.382
62070,4300.200
62080,4299.155
62090,4300.176
62100,4296.897
62110,4301.057
62120,4300.232
62130,4301.221
62140,4302.996
62150,4299.223
62160,4298.959
62170,4299.514
62180,4301.550
62190,4306.154
62200,4308.718
62210,4310.165
62220,4307.261
62230,4306.985
62240,4306.692
62250,4305.557
62260,4306.660
62270,4305.980
62280,4304.236
62290,4305.032
62300,4302.570
62310,4306.610
62320,4304.304
62330,4303.123
62340,4302.745
62350,4300.134
62360,4302.222
62370,4301.724
62380,4300.498
62390,4301.591
62400,4299.417
62410,4301.587
62420,4302.342
62430,4301.801
62440,4302.770
62450,4300.454
62460,4301.357
62470,4302.922
62480,4301.346
62490,4301.681
62500,4299.665
62510,4299.470
62520,4300.405
62530,4300.782
62540,4301.224
62550,4298.028
62560,4300.655
62570,4302.201
62580,4302.307
62590,4304.592
62600,4302.209
62610,4301.947
62620,4301.819
62630,4302.561
62640,10842.820
62650,15152.496
62660,17185.898
62670,30436.869
62680,41912.742
62690,46143.340
62700,47625.469
62710,48256.852
62720,48518.082
62730,48383.613
62740,48231.664
62750,48174.211
62760,48358.590
62770,48493.488
62780,48537.289
62790,48552.621
62800,48522.004
62810,48372.531
62820,48294.219
62830,48116.250
62840,47416.414
62850,54582.039
62860,55986.621
62870,55934.391
62880,55916.129
62890,55894.516
62900,55850.531
62910,55960.559
62920,56058.926
62930,56065.086
62940,56151.688
62950,55934.477
62960,55781.469
62970,55516.289
62980,55396.957
62990,55330.613
63000,55362.004
63010,55333.086
63020,55258.414
63030,55341.746
63040,55427.313
63050,55455.625
63060,55394.953
63070,55377.047
63080,55387.125
63090,55338.762
63100,55277.223
63110,55307.402
63120,55319.324
63130,58168.277
63140,60766.555
63150,61802.801
63160,62090.559
63170,62166.992
63180,62076.383
63190,62181.672
63200,62139.426
63210,62096.422
63220,62180.801
63230,62182.246
63240,62107.602
63250,62124.434
63260,62121.910
63270,62261.973
63280,62250.570
63290,62267.828
63300,62402.250
63310,62344.508
63320,62225.910
63330,62109.770
63340,62141.156
63350,62154.742
63360,62059.398
63370,62152.453
63380,62302.191
63390,62367.438
63400,61315.227
63410,58107.703
63420,56930.406
63430,56348.465
63440,56043.145
63450,56035.801
63460,55835.137
63470,55484.484
63480,55508.906
63490,55624.934
63500,55664.801
63510,55493.461
63520,55477.887
63530,55567.340
63540,55665.039
63550,58876.203
63560,62003.438
63570,63297.063
63580,63602.914
63590,63901.738
63600,63973.879
63610,63963.449
63620,63820.410
63630,63876.254
63640,63897.637
63650,64100.566
63660,63999.164
63670,63902.027
63680,63914.582
63690,64099.387
63700,70170.836
